input	output
turn right, walk straight and take the second right. Then turn left at the end of the corridor.	right straight  right left
Turn right and go straight. Turn right at the end of lab B. Turn left at the end of hallway. Kitchen on the left.	right straight  right left
Rotate 90 degrees in counter clockwise direction and move straight until you reach the first intersection. 	left
Then, take a right turn and go till the end of the hallway. Finally, take a sharp right and the door towards your right is the washroom door. 	right straight  right 
turn to your left and take the immediate right. Move straight and take second right near the washroom.	left right straight  right 
Turn left and go straight. Turn right at the end of Library. Turn right at the end of hallway. Washroom is on the right.	left right straight  right 
Take a right turn at the start and proceed along the hallway and take a right turn after crossing lab B. 	right straight  right 
Head down the hallway and take a right at the end and stop at lab B 	right 
Go straight and take the first right, then take a left about the Stationary and then the first right, you'll reach Lab B.	right left right 
Take the second left from stationary room, move towards the end of the corridor, turn right and again take the first right	straight left right  right 
go straight, take the second left, turn right at the end of the corridor, take the first right.	straight left right  right 
Take second left.go till the end of the corridor. Take right.Take first right. Stop somewhere  around few steps before end of washroom.	straight left right  right 
Go straight, take the second left and go till the end of the corridor. Then take right, take another right, and stop next to the washroom.	straight left right  right 
Go straight till you reach the second intersection and turn left. 	straight left
Then move straight until you reach the end of the hallway and turn right. 	right 
Go straight and turn towards your right around lab A and stop near	right 
Turn right and walk straight, take the first left. Keep going straight, after two blocks u will reach the destination 	right left straight straight 
Turn right and then the second left. The destination is at the end of the corridor	right straight left
