input,output
Rotate 90 degrees in clockwise direction and go straight. Take the second right and reach the end of the hall. Take a right and stop near the door for lab A.,RFLR
Turn right and head straight. Take a left after the stationary and then turn right,RFLR
"Exit the washroom, move towards left and take the right near lab B.After you cross Lab B take the right to cross the kitchen.",RLRF
"Rotate 90 degrees in clockwise direction, go straight until you reach the first hallway to your left. Take a sharp left and reach the first intersection. Then take a sharp right and reach the intersection ahead. Then wait for the next instruction.",RLRF
"turn right, walk straight and take the second right. Then turn left at the end of the corridor.",RFRL
Turn right and go straight. Turn right at the end of lab B. Turn left at the end of hallway. Kitchen on the left.,RFRL
"Rotate 90 degrees in counter clockwise direction and move straight until you reach the first intersection. Then, take a right turn and go till the end of the hallway. Finally, take a sharp right and the door towards your right is the washroom door. ",LRFR
turn to your left and take the immediate right. Move straight and take second right near the washroom.,LRFR
Turn left and go straight. Turn right at the end of Library. Turn right at the end of hallway. Washroom is on the right.,LRFR
Library ,RFRR
Take a right turn at the start and proceed along the hallway and take a right turn after crossing lab B. Head down the hallway and take a right at the end and stop when lab B is to your right.,RFRR
"Take the second left from stationary room, move towards the end of the corridor, turn right and again take the first right",FLRR
"go straight, take the second left, turn right at the end of the corridor, take the first right.",FLRR
Take second left.go till the end of the corridor. Take right.Take first right. Stop somewhere  around few steps before end of washroom.,FLRR
"Go straight, take the second left and go till the end of the corridor. Then take right, take another right, and stop next to the washroom.",FLRR
Lab A,FLRR
Go straight till you reach the second intersection and turn left. Then move straight until you reach the end of the hallway and turn right. Go straight and turn towards your right around lab A and stop near ,FLRR
"Turn right and walk straight, take the first left. Keep going straight, after two blocks u will reach the destination ",RLFF
Turn right and then the second left. The destination is at the end of the corridor,RFL
